"country","iso3c","genus_cat","Exports","Imports","Reexports","perc_imp_reexport","perc_exports_reexport"
"Sierra Leone","SLE","Crustaceans",1226,19,10,52.6315789473684,0.815660685154976
"Georgia","GEO","Pelagic Fish",9292,11663,74,0.634485123896082,0.796383986224709
"Kenya","KEN","Pelagic Fish",132,11874,1,0.00842176183257537,0.757575757575758
"Canada","CAN","Crustaceans",219291,113928,1330,1.16740397444,0.606500038761281
"New Zealand","NZL","Freshwater Fish",6400,2666,29,1.08777194298575,0.453125
"New Zealand","NZL","Cephalopods",16757,2370,37,1.56118143459916,0.220803246404488
"New Zealand","NZL","Moluscs; Other",39803,1129,55,4.87156775907883,0.13818053915534
"Namibia","NAM","Pelagic Fish",340730,11453,412,3.59731074827556,0.12091685498782
"New Zealand","NZL","Pelagic Fish",80798,8694,45,0.5175983436853,0.0556944478823733
"New Zealand","NZL","Demersal Fish",170968,5708,87,1.52417659425368,0.0508867156426934
"New Zealand","NZL","Marine Fish; Other",19136,9528,9,0.0944584382871537,0.0470317725752508
"Namibia","NAM","Marine Fish; Other",34890,3340,15,0.449101796407186,0.0429922613929493
"Georgia","GEO","Marine Fish; Other",4567,5421,1,0.0184467810367091,0.0218962119553317
"Namibia","NAM","Demersal Fish",146189,3909,12,0.306983883346124,0.00820855194303265
"Albania","ALB","Aquatic Animals; Others",31,3,0,0,0
"Albania","ALB","Cephalopods",879,1746,0,0,0
"Albania","ALB","Crustaceans",2060,5573,0,0,0
"Albania","ALB","Demersal Fish",1011,1265,0,0,0
"Albania","ALB","Freshwater Fish",1000,216,0,0,0
"Albania","ALB","Marine Fish; Other",2268,1178,0,0,0
"Albania","ALB","Moluscs; Other",37,49,0,0,0
"Albania","ALB","Pelagic Fish",5571,10037,0,0,0
"Algeria","DZA","Cephalopods",308,1111,0,0,0
"Algeria","DZA","Crustaceans",171,1547,0,0,0
"Algeria","DZA","Demersal Fish",10,7022,0,0,0
"Algeria","DZA","Freshwater Fish",83,4651,0,0,0
"Algeria","DZA","Marine Fish; Other",74,16815,0,0,0
"Algeria","DZA","Moluscs; Other",6,2,0,0,0
"Algeria","DZA","Pelagic Fish",1147,22461,0,0,0
"Andorra","AND","Freshwater Fish",2,258,0,0,0
"Andorra","AND","Moluscs; Other",1,247,0,0,0
"Angola","AGO","Cephalopods",241,215,0,0,0
"Angola","AGO","Crustaceans",3854,540,0,0,0
"Angola","AGO","Demersal Fish",2974,3426,0,0,0
"Angola","AGO","Marine Fish; Other",11264,25042,0,0,0
"Angola","AGO","Pelagic Fish",27273,79184,0,0,0
"Antigua and Barbuda","ATG","Crustaceans",27,202,0,0,0
"Antigua and Barbuda","ATG","Moluscs; Other",1,58,0,0,0
"Argentina","ARG","Aquatic Animals; Others",10,24,0,0,0
"Argentina","ARG","Cephalopods",76764,1233,0,0,0
"Argentina","ARG","Crustaceans",184620,858,0,0,0
"Argentina","ARG","Demersal Fish",215561,325,0,0,0
"Argentina","ARG","Freshwater Fish",21484,10578,0,0,0
"Argentina","ARG","Marine Fish; Other",20477,2082,0,0,0
"Argentina","ARG","Moluscs; Other",5444,3293,0,0,0
"Argentina","ARG","Pelagic Fish",21247,32972,0,0,0
"Armenia","ARM","Crustaceans",323,44,0,0,0
"Armenia","ARM","Demersal Fish",6,622,0,0,0
"Armenia","ARM","Freshwater Fish",2085,308,0,0,0
"Armenia","ARM","Marine Fish; Other",1480,726,0,0,0
"Armenia","ARM","Pelagic Fish",13,2636,0,0,0
"Aruba","ABW","Aquatic Animals; Others",14,59,0,0,0
"Aruba","ABW","Freshwater Fish",34,1797,0,0,0
"Aruba","ABW","Marine Fish; Other",36,530,0,0,0
"Australia","AUS","Aquatic Animals; Others",1245,1007,0,0,0
"Australia","AUS","Cephalopods",205,21749,0,0,0
"Australia","AUS","Crustaceans",15981,35726,0,0,0
"Australia","AUS","Demersal Fish",1088,14132,0,0,0
"Australia","AUS","Freshwater Fish",13931,37266,0,0,0
"Australia","AUS","Marine Fish; Other",7875,127813,0,0,0
"Australia","AUS","Moluscs; Other",3290,9559,0,0,0
"Australia","AUS","Pelagic Fish",13259,86253,0,0,0
"Austria","AUT","Aquatic Animals; Others",12,1523,0,0,0
"Austria","AUT","Cephalopods",256,1863,0,0,0
"Austria","AUT","Crustaceans",666,6416,0,0,0
"Austria","AUT","Demersal Fish",2963,26347,0,0,0
"Austria","AUT","Freshwater Fish",4909,28952,0,0,0
"Austria","AUT","Marine Fish; Other",4935,9415,0,0,0
"Austria","AUT","Moluscs; Other",75,1403,0,0,0
"Austria","AUT","Pelagic Fish",1620,26569,0,0,0
"Azerbaijan","AZE","Pelagic Fish",188,13026,0,0,0
"Bahamas","BHS","Aquatic Animals; Others",46,14,0,0,0
"Bahamas","BHS","Cephalopods",18,73,0,0,0
"Bahamas","BHS","Crustaceans",2882,293,0,0,0
"Bahamas","BHS","Marine Fish; Other",10,578,0,0,0
"Bahamas","BHS","Moluscs; Other",486,14,0,0,0
"Bahamas","BHS","Pelagic Fish",105,1785,0,0,0
"Bahrain","BHR","Cephalopods",909,265,0,0,0
"Bahrain","BHR","Crustaceans",10178,1859,0,0,0
"Bahrain","BHR","Demersal Fish",264,2524,0,0,0
"Bahrain","BHR","Freshwater Fish",258,4686,0,0,0
"Bahrain","BHR","Marine Fish; Other",1161,8665,0,0,0
"Bahrain","BHR","Moluscs; Other",324,121,0,0,0
"Bahrain","BHR","Pelagic Fish",308,2204,0,0,0
"Bangladesh","BGD","Aquatic Animals; Others",285,434,0,0,0
"Bangladesh","BGD","Cephalopods",720,26,0,0,0
"Bangladesh","BGD","Crustaceans",40887,1476,0,0,0
"Bangladesh","BGD","Demersal Fish",1031,1894,0,0,0
"Bangladesh","BGD","Freshwater Fish",9770,17853,0,0,0
"Bangladesh","BGD","Marine Fish; Other",8684,69293,0,0,0
"Bangladesh","BGD","Pelagic Fish",259,33451,0,0,0
"Barbados","BRB","Crustaceans",1,261,0,0,0
"Barbados","BRB","Marine Fish; Other",162,3980,0,0,0
"Belarus","BLR","Aquatic Animals; Others",40,103,0,0,0
"Belarus","BLR","Cephalopods",757,1715,0,0,0
"Belarus","BLR","Crustaceans",3921,2772,0,0,0
"Belarus","BLR","Demersal Fish",15083,33993,0,0,0
"Belarus","BLR","Freshwater Fish",9405,19150,0,0,0
"Belarus","BLR","Marine Fish; Other",32970,32415,0,0,0
"Belarus","BLR","Moluscs; Other",460,705,0,0,0
"Belarus","BLR","Pelagic Fish",23343,110314,0,0,0
"Belgium","BEL","Aquatic Animals; Others",1576,5384,0,0,0
"Belgium","BEL","Cephalopods",8456,8986,0,0,0
"Belgium","BEL","Crustaceans",52724,63127,0,0,0
"Belgium","BEL","Demersal Fish",47081,94697,0,0,0
"Belgium","BEL","Freshwater Fish",39958,96883,0,0,0
"Belgium","BEL","Marine Fish; Other",27767,40648,0,0,0
"Belgium","BEL","Moluscs; Other",5203,31655,0,0,0
"Belgium","BEL","Pelagic Fish",19702,50139,0,0,0
"Belize","BLZ","Aquatic Animals; Others",93,NA,0,NA,0
"Belize","BLZ","Crustaceans",2213,7,0,0,0
"Belize","BLZ","Freshwater Fish",127,21,0,0,0
"Belize","BLZ","Marine Fish; Other",121,49,0,0,0
"Belize","BLZ","Moluscs; Other",680,18,0,0,0
"Belize","BLZ","Pelagic Fish",3,425,0,0,0
"Benin","BEN","Crustaceans",9,NA,0,NA,0
"Benin","BEN","Freshwater Fish",160,47997,0,0,0
"Benin","BEN","Marine Fish; Other",6,35619,0,0,0
"Benin","BEN","Moluscs; Other",1,1,0,0,0
"Benin","BEN","Pelagic Fish",1,3461,0,0,0
"Bermuda","BMU","Freshwater Fish",1,586,0,0,0
"Bosnia and Herzegovina","BIH","Aquatic Animals; Others",16,277,0,0,0
"Bosnia and Herzegovina","BIH","Cephalopods",83,725,0,0,0
"Bosnia and Herzegovina","BIH","Crustaceans",6,68,0,0,0
"Bosnia and Herzegovina","BIH","Demersal Fish",156,3404,0,0,0
"Bosnia and Herzegovina","BIH","Freshwater Fish",1600,1460,0,0,0
"Bosnia and Herzegovina","BIH","Marine Fish; Other",5,2251,0,0,0
"Bosnia and Herzegovina","BIH","Moluscs; Other",40,41,0,0,0
"Bosnia and Herzegovina","BIH","Pelagic Fish",147,4291,0,0,0
"Botswana","BWA","Crustaceans",1,54,0,0,0
"Botswana","BWA","Demersal Fish",130,411,0,0,0
"Botswana","BWA","Freshwater Fish",1,294,0,0,0
"Botswana","BWA","Marine Fish; Other",32,337,0,0,0
"Botswana","BWA","Moluscs; Other",89,4,0,0,0
"Botswana","BWA","Pelagic Fish",1,2638,0,0,0
"Brazil","BRA","Aquatic Animals; Others",2,108,0,0,0
"Brazil","BRA","Crustaceans",3219,268,0,0,0
"Brazil","BRA","Demersal Fish",12170,176323,0,0,0
"Brazil","BRA","Freshwater Fish",1636,184651,0,0,0
"Brazil","BRA","Marine Fish; Other",14760,34113,0,0,0
"Brazil","BRA","Pelagic Fish",21368,121151,0,0,0
"Brunei Darussalam","BRN","Aquatic Animals; Others",1,54,0,0,0
"Brunei Darussalam","BRN","Cephalopods",3,684,0,0,0
"Brunei Darussalam","BRN","Crustaceans",527,1503,0,0,0
"Brunei Darussalam","BRN","Demersal Fish",2,539,0,0,0
"Brunei Darussalam","BRN","Freshwater Fish",93,1522,0,0,0
"Brunei Darussalam","BRN","Marine Fish; Other",43,4917,0,0,0
"Brunei Darussalam","BRN","Moluscs; Other",23,302,0,0,0
"Brunei Darussalam","BRN","Pelagic Fish",605,1481,0,0,0
"Bulgaria","BGR","Aquatic Animals; Others",302,6409,0,0,0
"Bulgaria","BGR","Cephalopods",63,1165,0,0,0
"Bulgaria","BGR","Crustaceans",2531,4279,0,0,0
"Bulgaria","BGR","Demersal Fish",523,6046,0,0,0
"Bulgaria","BGR","Freshwater Fish",4292,4972,0,0,0
"Bulgaria","BGR","Marine Fish; Other",1784,5857,0,0,0
"Bulgaria","BGR","Moluscs; Other",5370,2158,0,0,0
"Bulgaria","BGR","Pelagic Fish",5116,20737,0,0,0
"Burkina Faso","BFA","Freshwater Fish",360,395,0,0,0
"Burkina Faso","BFA","Marine Fish; Other",4,20912,0,0,0
"Burkina Faso","BFA","Pelagic Fish",85,85851,0,0,0
"Burundi","BDI","Marine Fish; Other",1,2344,0,0,0
"C<f4>te d'Ivoire","CIV","Aquatic Animals; Others",1032,5,0,0,0
"C<f4>te d'Ivoire","CIV","Cephalopods",593,3,0,0,0
"C<f4>te d'Ivoire","CIV","Crustaceans",247,433,0,0,0
"C<f4>te d'Ivoire","CIV","Demersal Fish",93,13421,0,0,0
"C<f4>te d'Ivoire","CIV","Freshwater Fish",1054,47260,0,0,0
"C<f4>te d'Ivoire","CIV","Marine Fish; Other",2999,80057,0,0,0
"C<f4>te d'Ivoire","CIV","Moluscs; Other",469,24,0,0,0
"C<f4>te d'Ivoire","CIV","Pelagic Fish",28930,361330,0,0,0
"Cabo Verde","CPV","Cephalopods",292,209,0,0,0
"Cabo Verde","CPV","Crustaceans",2,180,0,0,0
"Cabo Verde","CPV","Freshwater Fish",1,188,0,0,0
"Cabo Verde","CPV","Marine Fish; Other",594,470,0,0,0
"Cabo Verde","CPV","Moluscs; Other",2,112,0,0,0
"Cabo Verde","CPV","Pelagic Fish",13923,109,0,0,0
"Cambodia","KHM","Cephalopods",2,35,0,0,0
"Cambodia","KHM","Crustaceans",42,115,0,0,0
"Cambodia","KHM","Demersal Fish",17,NA,0,NA,0
"Cambodia","KHM","Freshwater Fish",14101,3095,0,0,0
"Cambodia","KHM","Marine Fish; Other",22800,7095,0,0,0
"Cambodia","KHM","Pelagic Fish",45,8286,0,0,0
"Cameroon","CMR","Crustaceans",176,178,0,0,0
"Cameroon","CMR","Freshwater Fish",45,10232,0,0,0
"Cameroon","CMR","Marine Fish; Other",77,51218,0,0,0
"Cameroon","CMR","Pelagic Fish",3702,96919,0,0,0
"Central African Republic","CAF","Marine Fish; Other",81,600,0,0,0
"Chad","TCD","Marine Fish; Other",58,107,0,0,0
"Chile","CHL","Aquatic Animals; Others",2272,29,0,0,0
"Chile","CHL","Cephalopods",91581,871,0,0,0
"Chile","CHL","Crustaceans",9119,11156,0,0,0
"Chile","CHL","Demersal Fish",41084,2520,0,0,0
"Chile","CHL","Freshwater Fish",733014,12374,0,0,0
"Chile","CHL","Marine Fish; Other",64003,62871,0,0,0
"Chile","CHL","Moluscs; Other",88400,823,0,0,0
"Chile","CHL","Pelagic Fish",323417,80367,0,0,0
"China","CHN","Aquatic Animals; Others",23060,43058,0,0,0
"China","CHN","Cephalopods",558570,291004,0,0,0
"China","CHN","Crustaceans",313467,235115,0,0,0
"China","CHN","Demersal Fish",1262052,1286908,0,0,0
"China","CHN","Freshwater Fish",862094,314862,0,0,0
"China","CHN","Marine Fish; Other",1065148,351112,0,0,0
"China","CHN","Moluscs; Other",260495,79514,0,0,0
"China","CHN","Pelagic Fish",853563,2074147,0,0,0
"China, Hong Kong SAR","HKG","Aquatic Animals; Others",8434,10251,0,0,0
"China, Hong Kong SAR","HKG","Cephalopods",11210,26085,0,0,0
"China, Hong Kong SAR","HKG","Crustaceans",19192,74068,0,0,0
"China, Hong Kong SAR","HKG","Demersal Fish",23202,33384,0,0,0
"China, Hong Kong SAR","HKG","Freshwater Fish",3879,91810,0,0,0
"China, Hong Kong SAR","HKG","Marine Fish; Other",49297,118192,0,0,0
"China, Hong Kong SAR","HKG","Moluscs; Other",38875,39140,0,0,0
"China, Hong Kong SAR","HKG","Pelagic Fish",1136,10656,0,0,0
"China, Macao SAR","MAC","Moluscs; Other",2,3419,0,0,0
"Colombia","COL","Aquatic Animals; Others",7,56,0,0,0
"Colombia","COL","Cephalopods",12,4320,0,0,0
"Colombia","COL","Crustaceans",4432,7525,0,0,0
"Colombia","COL","Demersal Fish",1,2436,0,0,0
"Colombia","COL","Freshwater Fish",13011,56622,0,0,0
"Colombia","COL","Marine Fish; Other",2566,37506,0,0,0
"Colombia","COL","Pelagic Fish",22232,56267,0,0,0
"Comoros","COM","Crustaceans",2,NA,0,NA,0
"Congo","COG","Crustaceans",172,16,0,0,0
"Congo","COG","Demersal Fish",3660,4536,0,0,0
"Congo","COG","Marine Fish; Other",3769,13497,0,0,0
"Congo","COG","Pelagic Fish",8027.4,27585,0,0,0
"Congo, Dem. Rep. of the","COD","Crustaceans",0.5,27.34,0,0,0
"Congo, Dem. Rep. of the","COD","Demersal Fish",3.31,7716.01,0,0,0
"Congo, Dem. Rep. of the","COD","Freshwater Fish",11.09,5201.39,0,0,0
"Congo, Dem. Rep. of the","COD","Marine Fish; Other",33.06,10018.14,0,0,0
"Congo, Dem. Rep. of the","COD","Pelagic Fish",22.38,94859.89,0,0,0
"Cook Islands","COK","Demersal Fish",799,22,0,0,0
"Cook Islands","COK","Freshwater Fish",1238,5,0,0,0
"Cook Islands","COK","Marine Fish; Other",1200,20,0,0,0
"Cook Islands","COK","Pelagic Fish",774,133,0,0,0
"Costa Rica","CRI","Cephalopods",50,1782,0,0,0
"Costa Rica","CRI","Crustaceans",1343,2070,0,0,0
"Costa Rica","CRI","Demersal Fish",2572,640,0,0,0
"Costa Rica","CRI","Freshwater Fish",11035,24198,0,0,0
"Costa Rica","CRI","Marine Fish; Other",3411,10748,0,0,0
"Costa Rica","CRI","Pelagic Fish",9948,44383,0,0,0
"Croatia","HRV","Aquatic Animals; Others",98,123,0,0,0
"Croatia","HRV","Cephalopods",2210,9446,0,0,0
"Croatia","HRV","Crustaceans",398,1754,0,0,0
"Croatia","HRV","Demersal Fish",9901,9365,0,0,0
"Croatia","HRV","Freshwater Fish",2263,3332,0,0,0
"Croatia","HRV","Marine Fish; Other",5146,12819,0,0,0
"Croatia","HRV","Moluscs; Other",735,681,0,0,0
"Croatia","HRV","Pelagic Fish",35065,16562,0,0,0
"Cuba","CUB","Aquatic Animals; Others",153,1,0,0,0
"Cuba","CUB","Cephalopods",281,598,0,0,0
"Cuba","CUB","Crustaceans",7636,102,0,0,0
"Cuba","CUB","Demersal Fish",275,2401,0,0,0
"Cuba","CUB","Freshwater Fish",84.2,1105,0,0,0
"Cuba","CUB","Marine Fish; Other",474,1285,0,0,0
"Cuba","CUB","Moluscs; Other",14,373,0,0,0
"Cura<e7>ao","CUW","Marine Fish; Other",12,410,0,0,0
"Cura<e7>ao","CUW","Pelagic Fish",22063,370,0,0,0
"Cyprus","CYP","Cephalopods",35,3355,0,0,0
"Cyprus","CYP","Crustaceans",19,1440,0,0,0
"Cyprus","CYP","Demersal Fish",4959,2882,0,0,0
"Cyprus","CYP","Freshwater Fish",15,4569,0,0,0
"Cyprus","CYP","Marine Fish; Other",18,15572,0,0,0
"Cyprus","CYP","Moluscs; Other",4,796,0,0,0
"Cyprus","CYP","Pelagic Fish",272,4784,0,0,0
"Czechia","CZE","Aquatic Animals; Others",182,87,0,0,0
"Czechia","CZE","Cephalopods",107,596,0,0,0
"Czechia","CZE","Crustaceans",296,2265,0,0,0
"Czechia","CZE","Demersal Fish",4587,24017,0,0,0
"Czechia","CZE","Freshwater Fish",25468,24909,0,0,0
"Czechia","CZE","Marine Fish; Other",6998,12965,0,0,0
"Czechia","CZE","Moluscs; Other",85,471,0,0,0
"Czechia","CZE","Pelagic Fish",4890,36207,0,0,0
"Denmark","DNK","Aquatic Animals; Others",635,6068,0,0,0
"Denmark","DNK","Cephalopods",3157,2884,0,0,0
"Denmark","DNK","Crustaceans",94109,90439,0,0,0
"Denmark","DNK","Demersal Fish",284774,263839,0,0,0
"Denmark","DNK","Freshwater Fish",234064,230629,0,0,0
"Denmark","DNK","Marine Fish; Other",214116,620059,0,0,0
"Denmark","DNK","Moluscs; Other",28579,3145,0,0,0
"Denmark","DNK","Pelagic Fish",464809,240366,0,0,0
"Djibouti","DJI","Aquatic Animals; Others",1,NA,0,NA,0
"Djibouti","DJI","Marine Fish; Other",1,31,0,0,0
"Dominica","DMA","Freshwater Fish",2,115,0,0,0
"Dominican Republic","DOM","Cephalopods",1,1168,0,0,0
"Dominican Republic","DOM","Crustaceans",199,1530,0,0,0
"Dominican Republic","DOM","Demersal Fish",609,8093,0,0,0
"Dominican Republic","DOM","Freshwater Fish",197,6950,0,0,0
"Dominican Republic","DOM","Marine Fish; Other",57,3396,0,0,0
"Dominican Republic","DOM","Moluscs; Other",7,794,0,0,0
"Dominican Republic","DOM","Pelagic Fish",1472,19199,0,0,0
"Ecuador","ECU","Aquatic Animals; Others",836,35,0,0,0
"Ecuador","ECU","Cephalopods",3212,1208,0,0,0
"Ecuador","ECU","Crustaceans",450041,11312,0,0,0
"Ecuador","ECU","Demersal Fish",15841,2212,0,0,0
"Ecuador","ECU","Freshwater Fish",6297,991,0,0,0
"Ecuador","ECU","Marine Fish; Other",70414,43195,0,0,0
"Ecuador","ECU","Moluscs; Other",626,23,0,0,0
"Ecuador","ECU","Pelagic Fish",364641,51869,0,0,0
"Egypt","EGY","Aquatic Animals; Others",13,39,0,0,0
"Egypt","EGY","Cephalopods",707,4280,0,0,0
"Egypt","EGY","Crustaceans",3863,7547,0,0,0
"Egypt","EGY","Demersal Fish",17820,56329,0,0,0
"Egypt","EGY","Freshwater Fish",8922,5152,0,0,0
"Egypt","EGY","Marine Fish; Other",5031,34716,0,0,0
"Egypt","EGY","Moluscs; Other",256,95,0,0,0
"Egypt","EGY","Pelagic Fish",453,305336,0,0,0
"El Salvador","SLV","Cephalopods",15,402,0,0,0
"El Salvador","SLV","Crustaceans",2665,681,0,0,0
"El Salvador","SLV","Demersal Fish",509,351,0,0,0
"El Salvador","SLV","Freshwater Fish",49,959,0,0,0
"El Salvador","SLV","Marine Fish; Other",1622,79,0,0,0
"El Salvador","SLV","Moluscs; Other",12,39,0,0,0
"El Salvador","SLV","Pelagic Fish",26785,22059,0,0,0
"Equatorial Guinea","GNQ","Marine Fish; Other",20,1202,0,0,0
"Equatorial Guinea","GNQ","Pelagic Fish",1,3839,0,0,0
"Eritrea","ERI","Crustaceans",37,NA,0,NA,0
"Estonia","EST","Aquatic Animals; Others",3,12,0,0,0
"Estonia","EST","Cephalopods",251,315,0,0,0
"Estonia","EST","Crustaceans",4703,1878,0,0,0
"Estonia","EST","Demersal Fish",4513,7207,0,0,0
"Estonia","EST","Freshwater Fish",12500,15665,0,0,0
"Estonia","EST","Marine Fish; Other",13026,3828,0,0,0
"Estonia","EST","Moluscs; Other",58,209,0,0,0
"Estonia","EST","Pelagic Fish",72178,14431,0,0,0
"Eswatini","SWZ","Pelagic Fish",12,531,0,0,0
"Ethiopia","ETH","Marine Fish; Other",357,43,0,0,0
"Falkland Is.(Malvinas)","FLK","Cephalopods",56732,NA,0,NA,0
"Falkland Is.(Malvinas)","FLK","Demersal Fish",3070,15,0,0,0
"Falkland Is.(Malvinas)","FLK","Marine Fish; Other",1279,4,0,0,0
"Faroe Islands","FRO","Crustaceans",3653,46,0,0,0
"Faroe Islands","FRO","Demersal Fish",76531,11942,0,0,0
"Faroe Islands","FRO","Freshwater Fish",71375,52,0,0,0
"Faroe Islands","FRO","Marine Fish; Other",128118,5146,0,0,0
"Faroe Islands","FRO","Moluscs; Other",550,3,0,0,0
"Faroe Islands","FRO","Pelagic Fish",260744,17850,0,0,0
"Fiji","FJI","Aquatic Animals; Others",571,3,0,0,0
"Finland","FIN","Cephalopods",1,201,0,0,0
"Finland","FIN","Crustaceans",10,2703,0,0,0
"Finland","FIN","Demersal Fish",116,13293,0,0,0
"Finland","FIN","Freshwater Fish",20204,60830,0,0,0
"Finland","FIN","Marine Fish; Other",17013,28645,0,0,0
"Finland","FIN","Moluscs; Other",1,351,0,0,0
"Finland","FIN","Pelagic Fish",40204,21819,0,0,0
"France","FRA","Aquatic Animals; Others",644,5846,0,0,0
"France","FRA","Cephalopods",16973,41664,0,0,0
"France","FRA","Crustaceans",18665,141806,0,0,0
"France","FRA","Demersal Fish",60262,483646,0,0,0
"France","FRA","Freshwater Fish",37807,234439,0,0,0
"France","FRA","Marine Fish; Other",82847,148188,0,0,0
"France","FRA","Moluscs; Other",29056,90584,0,0,0
"France","FRA","Pelagic Fish",128901,264798,0,0,0
"French Polynesia","PYF","Aquatic Animals; Others",880,6,0,0,0
"French Polynesia","PYF","Demersal Fish",2,68,0,0,0
"French Polynesia","PYF","Freshwater Fish",30,162,0,0,0
"French Polynesia","PYF","Marine Fish; Other",265,164,0,0,0
"French Polynesia","PYF","Moluscs; Other",313,284,0,0,0
"French Polynesia","PYF","Pelagic Fish",942,1285,0,0,0
"Gabon","GAB","Crustaceans",88,44,0,0,0
"Gabon","GAB","Demersal Fish",10,5660,0,0,0
"Gabon","GAB","Marine Fish; Other",881,1541,0,0,0
"Gabon","GAB","Pelagic Fish",53,12104,0,0,0
"Gambia","GMB","Cephalopods",91,50,0,0,0
"Gambia","GMB","Crustaceans",149,6,0,0,0
"Gambia","GMB","Demersal Fish",335,82,0,0,0
"Gambia","GMB","Freshwater Fish",31,1,0,0,0
"Gambia","GMB","Marine Fish; Other",2928,1,0,0,0
"Gambia","GMB","Moluscs; Other",27,NA,0,NA,0
"Gambia","GMB","Pelagic Fish",1593,1937,0,0,0
"Georgia","GEO","Moluscs; Other",5,40,0,0,0
"Germany","DEU","Aquatic Animals; Others",508,12458,0,0,0
"Germany","DEU","Cephalopods",2681,20583,0,0,0
"Germany","DEU","Crustaceans",22357,63444,0,0,0
"Germany","DEU","Demersal Fish",466297,552911,0,0,0
"Germany","DEU","Freshwater Fish",102983,326371,0,0,0
"Germany","DEU","Marine Fish; Other",107222,152648,0,0,0
"Germany","DEU","Moluscs; Other",26083,16949,0,0,0
"Germany","DEU","Pelagic Fish",351540,349232,0,0,0
"Ghana","GHA","Cephalopods",6485,14,0,0,0
"Ghana","GHA","Crustaceans",193,65,0,0,0
"Ghana","GHA","Demersal Fish",5366,15092,0,0,0
"Ghana","GHA","Freshwater Fish",73,1801,0,0,0
"Ghana","GHA","Marine Fish; Other",1956,24155,0,0,0
"Ghana","GHA","Moluscs; Other",95,3,0,0,0
"Ghana","GHA","Pelagic Fish",55731,321656,0,0,0
"Greece","GRC","Aquatic Animals; Others",612,369,0,0,0
"Greece","GRC","Cephalopods",3440,28255,0,0,0
"Greece","GRC","Crustaceans",2706,8822,0,0,0
"Greece","GRC","Demersal Fish",95973,33362,0,0,0
"Greece","GRC","Freshwater Fish",7338,25369,0,0,0
"Greece","GRC","Marine Fish; Other",15003,49792,0,0,0
"Greece","GRC","Moluscs; Other",16612,4318,0,0,0
"Greece","GRC","Pelagic Fish",5837,81581,0,0,0
"Greenland","GRL","Crustaceans",55637,81,0,0,0
"Greenland","GRL","Demersal Fish",75936,38,0,0,0
"Greenland","GRL","Freshwater Fish",656,201,0,0,0
"Greenland","GRL","Marine Fish; Other",10846,219,0,0,0
"Greenland","GRL","Moluscs; Other",89,12,0,0,0
"Greenland","GRL","Pelagic Fish",90682,97,0,0,0
"Grenada","GRD","Cephalopods",0.82,12.39,0,0,0
"Grenada","GRD","Crustaceans",21.75,65.73,0,0,0
"Grenada","GRD","Demersal Fish",86.22,9.42,0,0,0
"Grenada","GRD","Marine Fish; Other",1.92,340.31,0,0,0
"Grenada","GRD","Moluscs; Other",13.53,16.82,0,0,0
"Grenada","GRD","Pelagic Fish",641.03,477.63,0,0,0
"Guatemala","GTM","Crustaceans",11332,7541,0,0,0
"Guatemala","GTM","Demersal Fish",33,42,0,0,0
"Guatemala","GTM","Freshwater Fish",516,1786,0,0,0
"Guatemala","GTM","Marine Fish; Other",168,2035,0,0,0
"Guatemala","GTM","Pelagic Fish",7184,27065,0,0,0
"Guinea","GIN","Crustaceans",3,NA,0,NA,0
"Guinea","GIN","Demersal Fish",758,400,0,0,0
"Guinea","GIN","Freshwater Fish",3898,544,0,0,0
"Guinea","GIN","Marine Fish; Other",527,29,0,0,0
"Guinea","GIN","Pelagic Fish",2539,1693,0,0,0
"Guinea-Bissau","GNB","Demersal Fish",386,12,0,0,0
"Guinea-Bissau","GNB","Marine Fish; Other",2795,23,0,0,0
"Guinea-Bissau","GNB","Pelagic Fish",3178,984,0,0,0
"Guyana","GUY","Crustaceans",10922,5,0,0,0
"Guyana","GUY","Demersal Fish",17,NA,0,NA,0
"Guyana","GUY","Freshwater Fish",124,27,0,0,0
"Guyana","GUY","Marine Fish; Other",16806,658,0,0,0
"Guyana","GUY","Moluscs; Other",3,2,0,0,0
"Guyana","GUY","Pelagic Fish",379,1458,0,0,0
"Haiti","HTI","Aquatic Animals; Others",113,1,0,0,0
"Haiti","HTI","Crustaceans",162,123,0,0,0
"Haiti","HTI","Freshwater Fish",11,573,0,0,0
"Haiti","HTI","Marine Fish; Other",3,3193,0,0,0
"Haiti","HTI","Moluscs; Other",65,1,0,0,0
"Honduras","HND","Aquatic Animals; Others",813,NA,0,NA,0
"Honduras","HND","Cephalopods",14,245,0,0,0
"Honduras","HND","Crustaceans",69778,885,0,0,0
"Honduras","HND","Demersal Fish",87,7,0,0,0
"Honduras","HND","Freshwater Fish",17043,3611,0,0,0
"Honduras","HND","Marine Fish; Other",604,1447,0,0,0
"Honduras","HND","Moluscs; Other",247,56,0,0,0
"Honduras","HND","Pelagic Fish",133,7999,0,0,0
"Hungary","HUN","Aquatic Animals; Others",29,94,0,0,0
"Hungary","HUN","Cephalopods",50,316,0,0,0
"Hungary","HUN","Crustaceans",55,831,0,0,0
"Hungary","HUN","Demersal Fish",741,11323,0,0,0
"Hungary","HUN","Freshwater Fish",5544,9779,0,0,0
"Hungary","HUN","Marine Fish; Other",124,4378,0,0,0
"Hungary","HUN","Moluscs; Other",18,486,0,0,0
"Hungary","HUN","Pelagic Fish",393,9791,0,0,0
"Iceland","ISL","Aquatic Animals; Others",1362,5,0,0,0
"Iceland","ISL","Cephalopods",357,1857,0,0,0
