"species","nutrient","nutrient_units","value","ssd","count","se","lower_ci","upper_ci","taxa_match","genus_cat"
"seriola lalandi","Calcium","mg",64.5,74.2462120245875,2,52.5,0,731.575748649171,"species","Pelagic Fish"
"dissostichus eleginoides","Calcium","mg",10,NA,1,NA,NA,NA,"species","Demersal Fish"
"micropogonias furnieri","Calcium","mg",5.8,NA,1,NA,NA,NA,"species","Demersal Fish"
"urophycis brasiliensis","Calcium","mg",18,NA,1,NA,NA,NA,"species","Demersal Fish"
"micromesistius australis","Calcium","mg",23,NA,1,NA,NA,NA,"species","Pelagic Fish"
"thyrsites atun","Calcium","mg",22,NA,1,NA,NA,NA,"species","Pelagic Fish"
"crassostrea gigas","Calcium","mg",139,76.6300637261034,6,31.2840925143186,50.41501337166,211.251653295007,"species","Moluscs; Other"
"mytilus edulis","Calcium","mg",26,6.10620293518929,7,2.30792777448622,22.9241327484516,34.2187243944055,"species","Moluscs; Other"
"oncorhynchus mykiss","Calcium","mg",25,21.8647825955054,27,4.20787937242924,24.0616911868247,41.3605310353975,"species","Freshwater Fish"
"scomberomorus cavalla","Calcium","mg",7,13.856406460551,3,8,0,49.4212218379957,"species","Pelagic Fish"
"jasus edwardsii","Calcium","mg",43,4.24264068711928,2,3,4.88138579147592,81.1186142085241,"species","Crustaceans"
"melicertus latisulcatus","Calcium","mg",58.5,19.0918830920368,2,13.5,0,230.033763938358,"species","Crustaceans"
"metapenaeus endeavouri","Calcium","mg",60,5.5075705472861,3,3.17979733805649,48.9851029700279,76.3482303633055,"species","Crustaceans"
"diagramma pictum","Calcium","mg",39,0,2,0,39,39,"species","Demersal Fish"
"eleutheronema tetradactylum","Calcium","mg",37,NA,1,NA,NA,NA,"species","Demersal Fish"
"epinephelus areolatus","Calcium","mg",1452.41,NA,1,NA,NA,NA,"species","Demersal Fish"
"lamna nasus","Calcium","mg",10,NA,1,NA,NA,NA,"species","Demersal Fish"
"lethrinus nebulosus","Calcium","mg",43,NA,1,NA,NA,NA,"species","Demersal Fish"
"lutjanus quinquelineatus","Calcium","mg",721.1,NA,1,NA,NA,NA,"species","Demersal Fish"
"macruronus novaezelandiae","Calcium","mg",14,8.48528137423857,2,6,0,90.2372284170482,"species","Demersal Fish"
"pagrus auratus","Calcium","mg",78.5,62.9325035256027,2,44.5,0,643.926110759774,"species","Demersal Fish"
"platycephalus indicus","Calcium","mg",150,NA,1,NA,NA,NA,"species","Demersal Fish"
"pseudocaranx dentex","Calcium","mg",16,NA,1,NA,NA,NA,"species","Demersal Fish"
"beryx splendens","Calcium","mg",31,NA,1,NA,NA,NA,"species","Pelagic Fish"
"chanos chanos","Calcium","mg",35,22.6274169979695,2,16,0,238.299275778795,"species","Pelagic Fish"
"cyprinus carpio","Calcium","mg",41,22.9617854215126,13,6.36845343949733,31.0474088639617,58.7987449821921,"species","Pelagic Fish"
"lampris guttatus","Calcium","mg",6,NA,1,NA,NA,NA,"species","Pelagic Fish"
"mugil cephalus","Calcium","mg",34,10.6748480528943,7,4.03471331876576,25.6988407357682,45.444016407089,"species","Pelagic Fish"
"pellona ditchela","Calcium","mg",890.38,NA,1,NA,NA,NA,"species","Pelagic Fish"
"protonibea diacanthus","Calcium","mg",32,NA,1,NA,NA,NA,"species","Pelagic Fish"
"rexea solandri","Calcium","mg",11,NA,1,NA,NA,NA,"species","Pelagic Fish"
"scomber australasicus","Calcium","mg",12,NA,1,NA,NA,NA,"species","Pelagic Fish"
"selaroides leptolepis","Calcium","mg",859.24,NA,1,NA,NA,NA,"species","Pelagic Fish"
"seriolella punctata","Calcium","mg",11,NA,1,NA,NA,NA,"species","Pelagic Fish"
"thunnus maccoyii","Calcium","mg",9,3.05505046330389,3,1.76383420737639,0.744167266139814,15.9224994005269,"species","Pelagic Fish"
"salmo salar","Calcium","mg",12,7.8730456930497,33,1.37052133947819,11.3295515069054,16.9128727355189,"species","Freshwater Fish"
"ommastrephes bartramii","Calcium","mg",12,NA,1,NA,NA,NA,"species","Cephalopods"
"scophthalmus maximus","Calcium","mg",10.8,6.23427545719553,7,2.35633463777327,4.37711399242635,15.9086002932879,"species","Demersal Fish"
"epinephelus aeneus","Calcium","mg",28,11.3137084989848,2,8,0,129.649637889398,"species","Demersal Fish"
"merluccius merluccius","Calcium","mg",23,2.82842712474619,2,2,0,48.4124094723494,"species","Demersal Fish"
"pleuronectes platessa","Calcium","mg",21,8.54400374531753,3,4.93288286231625,0,41.2244819130793,"species","Demersal Fish"
"argyrosomus regius","Calcium","mg",11.2,NA,1,NA,NA,NA,"species","Demersal Fish"
"aphanopus carbo","Calcium","mg",14,3.09892454463372,3,1.78916492004262,6.93517800613998,22.3314886605267,"species","Pelagic Fish"
"belone belone","Calcium","mg",79,NA,1,NA,NA,NA,"species","Pelagic Fish"
"merlangius merlangus","Calcium","mg",44,8.48528137423857,2,6,0,120.237228417048,"species","Pelagic Fish"
"trachurus trachurus","Calcium","mg",34.5,22.5141930543577,10,7.11961297325135,20.8943165162084,53.1056834837916,"species","Pelagic Fish"
"pecten maximus","Calcium","mg",64,NA,1,NA,NA,NA,"species","Moluscs; Other"
"cancer pagurus","Calcium","mg",56,5.65685424949238,2,4,5.17518105530122,106.824818944699,"species","Crustaceans"
"sciaena umbra","Calcium","mg",74,NA,1,NA,NA,NA,"species","Demersal Fish"
"melanogrammus aeglefinus","Calcium","mg",13,10.1259422219541,17,2.45590172588343,11.723132681639,22.1356908477728,"species","Demersal Fish"
"molva molva","Calcium","mg",31,4.24264068711928,2,3,0,69.1186142085241,"species","Demersal Fish"
"sprattus sprattus","Calcium","mg",47,NA,1,NA,NA,NA,"species","Pelagic Fish"
"clupea harengus","Calcium","mg",47.5,19.0862703084106,8,6.74801558131828,32.5434787062888,64.4565212937112,"species","Pelagic Fish"
"pollachius pollachius","Calcium","mg",8,NA,1,NA,NA,NA,"species","Pelagic Fish"
