"species","nutrient","nutrient_units","value","ssd","count","se","lower_ci","upper_ci","taxa_match","genus_cat"
"rexea solandri","Vitamin B12","mcg",0.8,NA,1,NA,NA,NA,"species","Pelagic Fish"
"scomber australasicus","Vitamin B12","mcg",12.6,NA,1,NA,NA,NA,"species","Pelagic Fish"
"seriolella punctata","Vitamin B12","mcg",1.8,NA,1,NA,NA,NA,"species","Pelagic Fish"
"thunnus maccoyii","Vitamin B12","mcg",1.5,0.750555349946514,3,0.433333333333333,0,3.33114951622477,"species","Pelagic Fish"
"salmo salar","Vitamin B12","mcg",4.3,1.76587064639088,31,0.31715973078525,3.71711212724679,5.01256529210805,"species","Freshwater Fish"
"ommastrephes bartramii","Vitamin B12","mcg",2.3,NA,1,NA,NA,NA,"species","Cephalopods"
"scophthalmus maximus","Vitamin B12","mcg",1.5,0.989949493661167,2,0.7,0,10.3943433153223,"species","Demersal Fish"
"epinephelus aeneus","Vitamin B12","mcg",3.6,4.24264068711928,2,3,0,41.7186142085241,"species","Demersal Fish"
"pleuronectes platessa","Vitamin B12","mcg",1.15,0.0707106781186547,2,0.0499999999999999,0.514689763191266,1.78531023680873,"species","Demersal Fish"
"belone belone","Vitamin B12","mcg",7.7,NA,1,NA,NA,NA,"species","Pelagic Fish"
"merlangius merlangus","Vitamin B12","mcg",0.8,NA,1,NA,NA,NA,"species","Pelagic Fish"
"trachurus trachurus","Vitamin B12","mcg",7.3,0.544944295973713,8,0.192666903525971,6.8819151674432,7.7930848325568,"species","Pelagic Fish"
"pecten maximus","Vitamin B12","mcg",2.5,NA,1,NA,NA,NA,"species","Moluscs; Other"
"cancer pagurus","Vitamin B12","mcg",4.6,0.14142135623731,2,0.1,3.32937952638253,5.87062047361747,"species","Crustaceans"
"melanogrammus aeglefinus","Vitamin B12","mcg",1.4,0.35607037381831,9,0.118690124606103,1.27741119296154,1.82481102926068,"species","Demersal Fish"
"molva molva","Vitamin B12","mcg",0.53,0.0424264068711929,2,0.03,0.148813857914759,0.911186142085241,"species","Demersal Fish"
"sprattus sprattus","Vitamin B12","mcg",7,NA,1,NA,NA,NA,"species","Pelagic Fish"
"clupea harengus","Vitamin B12","mcg",12,1.64449080264987,9,0.548163600883289,10.6659324695947,13.1940675304053,"species","Pelagic Fish"
"pollachius pollachius","Vitamin B12","mcg",1,NA,1,NA,NA,NA,"species","Pelagic Fish"
"chamelea gallina","Vitamin B12","mcg",38,NA,1,NA,NA,NA,"species","Moluscs; Other"
"ostrea edulis","Vitamin B12","mcg",17,NA,1,NA,NA,NA,"species","Moluscs; Other"
"ruditapes philippinarum","Vitamin B12","mcg",52.4,NA,1,NA,NA,NA,"species","Moluscs; Other"
"esox lucius","Vitamin B12","mcg",7.45,5.97017587680631,6,2.43731409547477,1.1846846584322,13.7153153415678,"species","Demersal Fish"
"microstomus kitt","Vitamin B12","mcg",1,NA,1,NA,NA,NA,"species","Demersal Fish"
"gadus morhua","Vitamin B12","mcg",1.1,0.201748764810504,27,0.038826567890673,1.04907973558814,1.20869804218963,"species","Pelagic Fish"
"pandalus borealis","Vitamin B12","mcg",3.6,0.14142135623731,2,0.1,2.32937952638253,4.87062047361747,"species","Crustaceans"
"chionoecetes opilio","Vitamin B12","mcg",6.65,3.32340187157677,2,2.35,0,36.5095811300105,"species","Crustaceans"
"paralithodes camtschaticus","Vitamin B12","mcg",9,1.9731531449265,3,1.13920049937567,3.16508252829599,12.9682508050373,"species","Crustaceans"
"anarhichas lupus","Vitamin B12","mcg",2.03,NA,1,NA,NA,NA,"species","Demersal Fish"
"brosme brosme","Vitamin B12","mcg",1.04,NA,1,NA,NA,NA,"species","Demersal Fish"
"hippoglossus hippoglossus","Vitamin B12","mcg",0.925,0.452014849581763,12,0.13048544754187,0.668636799685762,1.2430298669809,"species","Demersal Fish"
"pollachius virens","Vitamin B12","mcg",3.195,0.420743389728229,4,0.210371694864114,2.70300337694343,4.04199662305657,"species","Demersal Fish"
"reinhardtius hippoglossoides","Vitamin B12","mcg",1,0.239165214862028,7,0.090395954397465,0.838809067889283,1.28119093211072,"species","Demersal Fish"
"sebastes norvegicus","Vitamin B12","mcg",1,0,3,0,1,1,"species","Pelagic Fish"
"salvelinus alpinus","Vitamin B12","mcg",7.8,NA,1,NA,NA,NA,"species","Freshwater Fish"
"callinectes sapidus","Vitamin B12","mcg",9,0.178885438199983,5,0.0800000000000001,8.85788439158418,9.30211560841582,"species","Crustaceans"
"archosargus probatocephalus","Vitamin B12","mcg",2,NA,1,NA,NA,NA,"species","Demersal Fish"
"trachinotus carolinus","Vitamin B12","mcg",1.3,NA,1,NA,NA,NA,"species","Pelagic Fish"
"crassostrea rhizophorae","Vitamin B12","mcg",21,NA,1,NA,NA,NA,"species","Moluscs; Other"
"mya arenaria","Vitamin B12","mcg",98,NA,1,NA,NA,NA,"species","Moluscs; Other"
"marsupenaeus japonicus","Vitamin B12","mcg",1.9,NA,1,NA,NA,NA,"species","Crustaceans"
"metapenaeus affinis","Vitamin B12","mcg",1.4,NA,1,NA,NA,NA,"species","Crustaceans"
"rastrelliger brachysoma","Vitamin B12","mcg",7.25,NA,1,NA,NA,NA,"species","Pelagic Fish"
"homarus americanus","Vitamin B12","mcg",1.25,0.859471044416551,7,0.324849520369592,0.24797900162603,1.83773528408826,"species","Crustaceans"
"stenodus leucichthys","Vitamin B12","mcg",5.9,NA,1,NA,NA,NA,"species","Demersal Fish"
"anguilla rostrata","Vitamin B12","mcg",2,1.15470053837925,4,0.577350269189626,0.162613768962921,3.83738623103708,"species","Demersal Fish"
"pseudopleuronectes americanus","Vitamin B12","mcg",0.8,NA,1,NA,NA,NA,"species","Demersal Fish"
"zoarces americanus","Vitamin B12","mcg",0.9,NA,1,NA,NA,NA,"species","Demersal Fish"
"anoplopoma fimbria","Vitamin B12","mcg",1.5,0.750555349946513,3,0.433333333333333,0.0688504837752333,3.79781618289143,"species","Demersal Fish"
"gadus macrocephalus","Vitamin B12","mcg",2,0.662336855301069,14,0.177016970512134,1.42900665667216,2.19385048618498,"species","Demersal Fish"
"hippoglossus stenolepis","Vitamin B12","mcg",1.55,0.777817459305202,2,0.55,0,8.53841260489608,"species","Demersal Fish"
"oncorhynchus gorbuscha","Vitamin B12","mcg",3.575,0.814836384394642,4,0.407418192197321,2.39091347953627,4.98408652046373,"species","Demersal Fish"
"oncorhynchus kisutch","Vitamin B12","mcg",4.135,1.06350782267405,10,0.336310702905645,3.3332123344963,4.8547876655037,"species","Demersal Fish"
"ophiodon elongatus","Vitamin B12","mcg",3.6,4.05314692553823,5,1.81262240965955,1.52735338312891,11.5926466168711,"species","Demersal Fish"
"sebastes alutus","Vitamin B12","mcg",1.6,NA,1,NA,NA,NA,"species","Demersal Fish"
"alosa sapidissima","Vitamin B12","mcg",0.15,0,3,0,0.15,0.15,"species","Pelagic Fish"
"oncorhynchus keta","Vitamin B12","mcg",3,2.588391668309,8,0.915134650514026,1.34605041192165,5.67394958807835,"species","Pelagic Fish"
"oncorhynchus nerka","Vitamin B12","mcg",4.69,3.48165395835288,7,1.31594150356934,0.321435710931232,6.76142143192591,"species","Pelagic Fish"
"oncorhynchus tshawytscha","Vitamin B12","mcg",1.3,1.09117673484485,6,0.44547103659435,0.688213578361818,2.97845308830485,"species","Pelagic Fish"
"crassostrea virginica","Vitamin B12","mcg",18.5,4.19276751687349,14,1.12056425360968,16.1184538232347,20.9601176053367,"species","Moluscs; Other"
"euphausia superba","Vitamin B12","mcg",6.2,NA,1,NA,NA,NA,"species","Crustaceans"
"scomber japonicus","Vitamin B12","mcg",12.9,NA,1,NA,NA,NA,"species","Pelagic Fish"
"ostrea chilensis","Vitamin B12","mcg",17,NA,1,NA,NA,NA,"species","Moluscs; Other"
"todarodes pacificus","Vitamin B12","mcg",5.25,0.494974746830583,2,0.35,0.802828342338862,9.69717165766114,"species","Cephalopods"
"metapenaeus joyneri","Vitamin B12","mcg",1.1,NA,1,NA,NA,NA,"species","Crustaceans"
"portunus trituberculatus","Vitamin B12","mcg",4.7,NA,1,NA,NA,NA,"species","Crustaceans"
"acanthopagrus schlegelii","Vitamin B12","mcg",3.7,NA,1,NA,NA,NA,"species","Demersal Fish"
"arctoscopus japonicus","Vitamin B12","mcg",1.7,NA,1,NA,NA,NA,"species","Demersal Fish"
"conger myriaster","Vitamin B12","mcg",2.3,NA,1,NA,NA,NA,"species","Demersal Fish"
"dasyatis akajei","Vitamin B12","mcg",3.7,NA,1,NA,NA,NA,"species","Demersal Fish"
"lateolabrax japonicus","Vitamin B12","mcg",2,NA,1,NA,NA,NA,"species","Demersal Fish"
"pagrus major","Vitamin B12","mcg",1.5,0.3,3,0.173205080756888,0.754758686474901,2.2452413135251,"species","Demersal Fish"
"paralichthys olivaceus","Vitamin B12","mcg",1.1,0.264575131106459,3,0.152752523165195,0.542758939227157,1.85724106077284,"species","Demersal Fish"
"stephanolepis cirrhifer","Vitamin B12","mcg",1.3,NA,1,NA,NA,NA,"species","Demersal Fish"
"trachurus japonicus","Vitamin B12","mcg",8.45,1.90918830920368,2,1.35,0,25.6033763938358,"species","Demersal Fish"
"takifugu rubripes","Vitamin B12","mcg",1.9,NA,1,NA,NA,NA,"species","Demersal Fish"
"cololabis saira","Vitamin B12","mcg",15.3,0.14142135623731,2,0.100000000000001,14.0293795263825,16.5706204736175,"species","Pelagic Fish"
"decapterus maruadsi","Vitamin B12","mcg",9.9,NA,1,NA,NA,NA,"species","Pelagic Fish"
"engraulis japonicus","Vitamin B12","mcg",13.9,NA,1,NA,NA,NA,"species","Pelagic Fish"
"hyporhamphus sajori","Vitamin B12","mcg",5.5,NA,1,NA,NA,NA,"species","Pelagic Fish"
"pennahia argentata","Vitamin B12","mcg",2.25,0.353553390593274,2,0.25,0,5.42655118404367,"species","Pelagic Fish"
"psenopsis anomala","Vitamin B12","mcg",2.7,NA,1,NA,NA,NA,"species","Pelagic Fish"
"scomberomorus niphonius","Vitamin B12","mcg",5.3,2.40277617212535,3,1.38724346977899,0,11.1354935687383,"species","Pelagic Fish"
"spratelloides gracilis","Vitamin B12","mcg",8.3,NA,1,NA,NA,NA,"species","Pelagic Fish"
"apostichopus japonicus","Vitamin B12","mcg",2.3,NA,1,NA,NA,NA,"species","Moluscs; Other"
"meretrix lusoria","Vitamin B12","mcg",28.4,NA,1,NA,NA,NA,"species","Moluscs; Other"
"mizuhopecten yessoensis","Vitamin B12","mcg",6.55,6.85893577750951,2,4.85,0,68.1750929704473,"species","Moluscs; Other"
"mytilus coruscus","Vitamin B12","mcg",15.5,0.288675134594813,3,0.166666666666667,14.9495578783751,16.3837754549582,"species","Moluscs; Other"
"turbo cornutus","Vitamin B12","mcg",1.3,NA,1,NA,NA,NA,"species","Moluscs; Other"
"sinonovacula constricta","Vitamin B12","mcg",59.4,NA,1,NA,NA,NA,"species","Moluscs; Other"
"lota lota","Vitamin B12","mcg",0.8,0,4,0,0.8,0.8,"species","Demersal Fish"
"litopenaeus vannamei","Vitamin B12","mcg",1.3,0,2,0,1.3,1.3,"species","Crustaceans"
"tripneustes gratilla","Vitamin B12","mcg",0,NA,1,NA,NA,NA,"species","Moluscs; Other"
"scomberomorus maculatus","Vitamin B12","mcg",2.4,NA,1,NA,NA,NA,"species","Pelagic Fish"
"pleurogrammus azonus","Vitamin B12","mcg",10.7,NA,1,NA,NA,NA,"species","Demersal Fish"
"konosirus punctatus","Vitamin B12","mcg",10.2,NA,1,NA,NA,NA,"species","Pelagic Fish"
"seriola quinqueradiata","Vitamin B12","mcg",4.6,1.4422205101856,3,0.832666399786453,1.41732564198816,8.58267435801184,"species","Pelagic Fish"
"metapenaeus monoceros","Vitamin B12","mcg",1.4,0.0577350269189626,3,0.0333333333333334,1.28991157567502,1.57675509099165,"species","Crustaceans"
"allothunnus fallai","Vitamin B12","mcg",0.7,NA,1,NA,NA,NA,"species","Pelagic Fish"
"pecten novaezelandiae","Vitamin B12","mcg",2.45,1.62634559672906,2,1.15,0,17.0621354466009,"species","Moluscs; Other"
"perna canaliculus","Vitamin B12","mcg",7.3,0,2,0,7.3,7.3,"species","Moluscs; Other"
"erimacrus isenbeckii","Vitamin B12","mcg",1.9,NA,1,NA,NA,NA,"species","Crustaceans"
"oplegnathus fasciatus","Vitamin B12","mcg",1.3,NA,1,NA,NA,NA,"species","Demersal Fish"
"tridacna maxima","Vitamin B12","mcg",57.05,NA,1,NA,NA,NA,"species","Moluscs; Other"
"morone saxatilis","Vitamin B12","mcg",3.82,NA,1,NA,NA,NA,"species","Freshwater Fish"
"genypterus capensis","Vitamin B12","mcg",1.3,NA,1,NA,NA,NA,"species","Demersal Fish"
"oreochromis mossambicus","Vitamin B12","mcg",1.53,NA,1,NA,NA,NA,"species","Freshwater Fish"
"dentex tumifrons","Vitamin B12","mcg",3.2,NA,1,NA,NA,NA,"species","Demersal Fish"
"decapterus muroadsi","Vitamin B12","mcg",12.8,NA,1,NA,NA,NA,"species","Pelagic Fish"
"paphies australis","Vitamin B12","mcg",19,NA,1,NA,NA,NA,"species","Moluscs; Other"
"octopus vulgaris","Vitamin A","mcg",38,13.5013226865265,8,4.77343841331532,21.71261176439,44.28738823561,"species","Cephalopods"
"sepia officinalis","Vitamin A","mcg",27,7.07106781186548,2,5,0,90.5310236808735,"species","Cephalopods"
"dicentrarchus labrax","Vitamin A","mcg",15,6.65832811847939,3,3.84418753155693,0,29.8735373096556,"species","Demersal Fish"
"engraulis encrasicolus","Vitamin A","mcg",7.5,9.19238815542512,2,6.5,0,90.0903307851355,"species","Pelagic Fish"
"thunnus thynnus","Vitamin A","mcg",270,323.546287260417,5,144.694298436393,0,766.935776643752,"species","Pelagic Fish"
"mytilus galloprovincialis","Vitamin A","mcg",68,0,3,0,68,68,"species","Moluscs; Other"
"crangon crangon","Vitamin A","mcg",2,0,2,0,2,2,"species","Crustaceans"
"homarus gammarus","Vitamin A","mcg",7,0,2,0,7,7,"species","Crustaceans"
"nephrops norvegicus","Vitamin A","mcg",7,0,2,0,7,7,"species","Crustaceans"
"lophius piscatorius","Vitamin A","mcg",46,48.0832611206852,2,34,0,478.010961029939,"species","Demersal Fish"
"molva dypterygia","Vitamin A","mcg",2,NA,1,NA,NA,NA,"species","Demersal Fish"
"prionace glauca","Vitamin A","mcg",9,NA,1,NA,NA,NA,"species","Demersal Fish"
"seriola dumerili","Vitamin A","mcg",4,NA,1,NA,NA,NA,"species","Demersal Fish"
"solea solea","Vitamin A","mcg",5.5,0.577350269189626,4,0.288675134594813,4.58130688448146,6.41869311551854,"species","Demersal Fish"
"squalus acanthias","Vitamin A","mcg",210,1406.73356276724,5,629.110374515601,0,2761.47581995299,"species","Demersal Fish"
"coryphaena hippurus","Vitamin A","mcg",8,27.7848879788996,3,16.0416125540213,0,91.0214880451429,"species","Pelagic Fish"
"katsuwonus pelamis","Vitamin A","mcg",12.5,10.6066017177982,2,7.5,0,107.79653552131,"species","Pelagic Fish"
"scomber scombrus","Vitamin A","mcg",39.6,47.6020288433172,9,15.8673429477724,12.4331748810675,85.6134917855991,"species","Pelagic Fish"
"thunnus alalunga","Vitamin A","mcg",20,21.733231083604,3,12.5476868164791,0,77.655005599632,"species","Pelagic Fish"
"trachurus mediterraneus","Vitamin A","mcg",15,NA,1,NA,NA,NA,"species","Pelagic Fish"
"xiphias gladius","Vitamin A","mcg",43,12.8970280814354,3,7.44610263456289,14.62867284007,78.7046604932634,"species","Pelagic Fish"
"thunnus albacares","Vitamin A","mcg",18,9.23760430703401,3,5.33333333333333,0,35.6141478919971,"species","Pelagic Fish"
"thunnus obesus","Vitamin A","mcg",3,NA,1,NA,NA,NA,"species","Pelagic Fish"
"penaeus monodon","Vitamin A","mcg",15,6.50384501660364,5,2.9086079144498,4.5244097929863,20.6755902070137,"species","Crustaceans"
"penaeus semisulcatus","Vitamin A","mcg",11,0,2,0,11,11,"species","Crustaceans"
"portunus pelagicus","Vitamin A","mcg",51.5,11.7136672310596,4,5.85683361552981,31.3109414995957,68.5890585004043,"species","Crustaceans"
"scylla serrata","Vitamin A","mcg",58,27.7699527461037,3,16.0329896933462,0,112.474803536788,"species","Crustaceans"
"lates calcarifer","Vitamin A","mcg",13.5,7.77817459305202,2,5.5,0,83.3841260489608,"species","Demersal Fish"
"muraenesox cinereus","Vitamin A","mcg",59,NA,1,NA,NA,NA,"species","Demersal Fish"
"euthynnus affinis","Vitamin A","mcg",90.2,134.773831365506,10,42.6192276102439,30.0952756885597,222.91805771144,"species","Pelagic Fish"
"makaira mazara","Vitamin A","mcg",2,NA,1,NA,NA,NA,"species","Pelagic Fish"
"pampus argenteus","Vitamin A","mcg",90,NA,1,NA,NA,NA,"species","Pelagic Fish"
"scomberomorus commerson","Vitamin A","mcg",39,NA,1,NA,NA,NA,"species","Pelagic Fish"
"tenualosa ilisha","Vitamin A","mcg",17,4.24264068711928,2,3,0,55.1186142085241,"species","Pelagic Fish"
"trichiurus lepturus","Vitamin A","mcg",52,NA,1,NA,NA,NA,"species","Pelagic Fish"
"perna viridis","Vitamin A","mcg",55,NA,1,NA,NA,NA,"species","Moluscs; Other"
"hoplostethus atlanticus","Vitamin A","mcg",21,NA,1,NA,NA,NA,"species","Pelagic Fish"
"pomatomus saltatrix","Vitamin A","mcg",120,NA,1,NA,NA,NA,"species","Pelagic Fish"
"seriola lalandi","Vitamin A","mcg",20.5,2.12132034355964,2,1.5,1.44069289573796,39.559307104262,"species","Pelagic Fish"
"dissostichus eleginoides","Vitamin A","mcg",1800,NA,1,NA,NA,NA,"species","Demersal Fish"
"micromesistius australis","Vitamin A","mcg",6,NA,1,NA,NA,NA,"species","Pelagic Fish"
"thyrsites atun","Vitamin A","mcg",55,NA,1,NA,NA,NA,"species","Pelagic Fish"
"crassostrea gigas","Vitamin A","mcg",22,23.9060661757638,6,9.75961064797157,7.41212214544153,57.5878778545585,"species","Moluscs; Other"
"mytilus edulis","Vitamin A","mcg",58,32.6330609454073,4,16.3165304727036,3.32351788209525,107.176482117905,"species","Moluscs; Other"
"oncorhynchus mykiss","Vitamin A","mcg",19,9.81068883333965,26,1.92403437703791,15.0566077928985,22.981853745563,"species","Freshwater Fish"
"scomberomorus cavalla","Vitamin A","mcg",17,116.047404107115,3,67,0,372.277732893214,"species","Pelagic Fish"
"jasus edwardsii","Vitamin A","mcg",2.5,0.707106781186548,2,0.5,0,8.85310236808735,"species","Crustaceans"
"melicertus latisulcatus","Vitamin A","mcg",1.5,0.707106781186548,2,0.5,0,7.85310236808735,"species","Crustaceans"
"metapenaeus endeavouri","Vitamin A","mcg",11,5.77350269189626,3,3.33333333333333,0,22.0088424324982,"species","Crustaceans"
"diagramma pictum","Vitamin A","mcg",29,0,2,0,29,29,"species","Demersal Fish"
"lethrinus nebulosus","Vitamin A","mcg",8,NA,1,NA,NA,NA,"species","Demersal Fish"
"macruronus novaezelandiae","Vitamin A","mcg",39.5,4.94974746830583,2,3.5,0,83.9717165766114,"species","Demersal Fish"
"pagrus auratus","Vitamin A","mcg",5,NA,1,NA,NA,NA,"species","Demersal Fish"
"pseudocaranx dentex","Vitamin A","mcg",10,NA,1,NA,NA,NA,"species","Demersal Fish"
"beryx splendens","Vitamin A","mcg",63,NA,1,NA,NA,NA,"species","Pelagic Fish"
"chanos chanos","Vitamin A","mcg",15,21.2132034355964,2,15,0,205.59307104262,"species","Pelagic Fish"
"cyprinus carpio","Vitamin A","mcg",9,8.43892571792922,11,2.54443184000471,5.98610710650913,17.3248019844,"species","Pelagic Fish"
"mugil cephalus","Vitamin A","mcg",39.5,15.7066864742377,6,6.4122279019594,16.0168434292628,48.9831565707372,"species","Pelagic Fish"
"protonibea diacanthus","Vitamin A","mcg",17,NA,1,NA,NA,NA,"species","Pelagic Fish"
"rexea solandri","Vitamin A","mcg",131,NA,1,NA,NA,NA,"species","Pelagic Fish"
"scomber australasicus","Vitamin A","mcg",8,NA,1,NA,NA,NA,"species","Pelagic Fish"
"seriolella punctata","Vitamin A","mcg",100,NA,1,NA,NA,NA,"species","Pelagic Fish"
"thunnus maccoyii","Vitamin A","mcg",34,17.7857620959388,3,10.2686145338329,0,70.5156156880745,"species","Pelagic Fish"
"salmo salar","Vitamin A","mcg",11.5,9.94635033856496,30,1.81594681509372,9.65263841190051,17.0806949214328,"species","Freshwater Fish"
"ommastrephes bartramii","Vitamin A","mcg",4,NA,1,NA,NA,NA,"species","Cephalopods"
"scophthalmus maximus","Vitamin A","mcg",7.5,4.94974746830583,2,3.5,0,51.9717165766114,"species","Demersal Fish"
"epinephelus aeneus","Vitamin A","mcg",38,11.3137084989848,2,8,0,139.649637889398,"species","Demersal Fish"
"pleuronectes platessa","Vitamin A","mcg",29.5,24.7487373415292,2,17.5,0,251.858582883057,"species","Demersal Fish"
"belone belone","Vitamin A","mcg",3,NA,1,NA,NA,NA,"species","Pelagic Fish"
"merlangius merlangus","Vitamin A","mcg",3,NA,1,NA,NA,NA,"species","Pelagic Fish"
"trachurus trachurus","Vitamin A","mcg",4.5,4.12093955999634,8,1.45697215386666,2.42980831107152,9.32019168892848,"species","Pelagic Fish"
"pecten maximus","Vitamin A","mcg",2,NA,1,NA,NA,NA,"species","Moluscs; Other"
"cancer pagurus","Vitamin A","mcg",7,0,2,0,7,7,"species","Crustaceans"
"melanogrammus aeglefinus","Vitamin A","mcg",13.8,7.09740898396832,7,2.68256844635654,5.11456290567406,18.2425799514688,"species","Demersal Fish"
"molva molva","Vitamin A","mcg",16,19.7989898732233,2,14,0,193.886866306446,"species","Demersal Fish"
"sprattus sprattus","Vitamin A","mcg",150,NA,1,NA,NA,NA,"species","Pelagic Fish"
"clupea harengus","Vitamin A","mcg",28,15.8085227164397,7,5.97505995757353,12.0624121213687,41.3033021643456,"species","Pelagic Fish"
"pollachius pollachius","Vitamin A","mcg",2,NA,1,NA,NA,NA,"species","Pelagic Fish"
"chamelea gallina","Vitamin A","mcg",79,NA,1,NA,NA,NA,"species","Moluscs; Other"
"ostrea edulis","Vitamin A","mcg",46,NA,1,NA,NA,NA,"species","Moluscs; Other"
"ruditapes philippinarum","Vitamin A","mcg",4,NA,1,NA,NA,NA,"species","Moluscs; Other"
"esox lucius","Vitamin A","mcg",16.5,6.69621428228561,8,2.36746926364118,9.77682476429355,20.9731752357064,"species","Demersal Fish"
"microstomus kitt","Vitamin A","mcg",0,NA,1,NA,NA,NA,"species","Demersal Fish"
"gadus morhua","Vitamin A","mcg",2,9.41981238585012,26,1.84737719883972,1.45102466828143,9.06051379325703,"species","Pelagic Fish"
"chionoecetes opilio","Vitamin A","mcg",22.5,31.8198051533946,2,22.5,0,308.389606563931,"species","Crustaceans"
"paralithodes camtschaticus","Vitamin A","mcg",7,3.46410161513775,3,2,0,13.6053054594989,"species","Crustaceans"
"anarhichas lupus","Vitamin A","mcg",113,NA,1,NA,NA,NA,"species","Demersal Fish"
"brosme brosme","Vitamin A","mcg",18,NA,1,NA,NA,NA,"species","Demersal Fish"
"hippoglossus hippoglossus","Vitamin A","mcg",10,14.3342053998275,10,4.53287375121395,5.29592717563139,25.8040728243686,"species","Demersal Fish"
"pollachius virens","Vitamin A","mcg",13.9,16.046079479632,4,8.02303973981599,0,42.9828931771218,"species","Demersal Fish"
"reinhardtius hippoglossoides","Vitamin A","mcg",14,1.35769412362775,3,0.783865067753657,9.89396749314115,16.6393658401922,"species","Demersal Fish"
"sebastes norvegicus","Vitamin A","mcg",37.5,0,2,0,37.5,37.5,"species","Pelagic Fish"
"cyclopterus lumpus","Vitamin A","mcg",18,NA,1,NA,NA,NA,"species","Pelagic Fish"
"salvelinus alpinus","Vitamin A","mcg",0,18.1865334794732,3,10.5,0,55.6778536623694,"species","Freshwater Fish"
"callinectes sapidus","Vitamin A","mcg",2,31.6950311563185,5,14.1744488429004,0,64.1545791087473,"species","Crustaceans"
"archosargus probatocephalus","Vitamin A","mcg",30,NA,1,NA,NA,NA,"species","Demersal Fish"
"trachinotus carolinus","Vitamin A","mcg",40,NA,1,NA,NA,NA,"species","Pelagic Fish"
"crassostrea rhizophorae","Vitamin A","mcg",27,NA,1,NA,NA,NA,"species","Moluscs; Other"
"marsupenaeus japonicus","Vitamin A","mcg",0,2.3094010767585,3,1.33333333333333,0,7.07020363966595,"species","Crustaceans"
"metapenaeus affinis","Vitamin A","mcg",1,NA,1,NA,NA,NA,"species","Crustaceans"
"rastrelliger brachysoma","Vitamin A","mcg",106,NA,1,NA,NA,NA,"species","Pelagic Fish"
"homarus americanus","Vitamin A","mcg",7,4.26614580154031,5,1.90787840283389,1.90288034713926,12.4971196528607,"species","Crustaceans"
"coregonus nasus","Vitamin A","mcg",162,NA,1,NA,NA,NA,"species","Demersal Fish"
"stenodus leucichthys","Vitamin A","mcg",0,0,2,0,0,0,"species","Demersal Fish"
"anguilla rostrata","Vitamin A","mcg",926.55,164.826590694584,2,116.55,0,2407.45816200116,"species","Demersal Fish"
"pseudopleuronectes americanus","Vitamin A","mcg",12,NA,1,NA,NA,NA,"species","Demersal Fish"
"zoarces americanus","Vitamin A","mcg",12,NA,1,NA,NA,NA,"species","Demersal Fish"
"anoplopoma fimbria","Vitamin A","mcg",308.7,584.872909271749,5,261.56311666594,0,1220.31563496743,"species","Demersal Fish"
"gadus macrocephalus","Vitamin A","mcg",2,7.43908596535892,14,1.98817935379511,1.7047996406346,10.2952003593654,"species","Demersal Fish"
"hippoglossus stenolepis","Vitamin A","mcg",13,NA,1,NA,NA,NA,"species","Demersal Fish"
"oncorhynchus gorbuscha","Vitamin A","mcg",35,8.12248495872796,7,3.07001074695099,23.6736686058575,38.6977599655711,"species","Demersal Fish"
"oncorhynchus kisutch","Vitamin A","mcg",40.25,8.81641461517473,4,4.40820730758737,29.0961169410439,57.1538830589561,"species","Demersal Fish"
"ophiodon elongatus","Vitamin A","mcg",11.25,5.30330085889911,2,3.75,0,58.8982677606551,"species","Demersal Fish"
"sebastes alutus","Vitamin A","mcg",17.5,3.53553390593274,2,2.5,0,49.2655118404367,"species","Demersal Fish"
"sebastes pinniger","Vitamin A","mcg",6.9,NA,1,NA,NA,NA,"species","Demersal Fish"
"alosa sapidissima","Vitamin A","mcg",31.9,0.141421356237312,2,0.100000000000001,30.6293795263825,33.1706204736175,"species","Pelagic Fish"
"oncorhynchus keta","Vitamin A","mcg",22.95,12.086177642249,10,3.82198495549106,10.3910693568289,27.6829306431711,"species","Pelagic Fish"
"oncorhynchus nerka","Vitamin A","mcg",45.05,13.8622753749674,8,4.90105446015738,32.1483477651349,55.3266522348651,"species","Pelagic Fish"
"oncorhynchus tshawytscha","Vitamin A","mcg",135.95,44.8683407315225,6,18.3174233995942,68.0135641333436,162.186435866656,"species","Pelagic Fish"
"crassostrea virginica","Vitamin A","mcg",13,29.7529510341091,7,11.2455584580764,0,52.2311759780964,"species","Moluscs; Other"
"euphausia superba","Vitamin A","mcg",180,NA,1,NA,NA,NA,"species","Crustaceans"
"scomber japonicus","Vitamin A","mcg",28.5,12.0208152801713,2,8.5,0,136.502740257485,"species","Pelagic Fish"
"todarodes pacificus","Vitamin A","mcg",14,1.4142135623731,2,1,1.29379526382531,26.7062047361747,"species","Cephalopods"
"metapenaeus joyneri","Vitamin A","mcg",4,NA,1,NA,NA,NA,"species","Crustaceans"
"portunus trituberculatus","Vitamin A","mcg",1,NA,1,NA,NA,NA,"species","Crustaceans"
"acanthopagrus schlegelii","Vitamin A","mcg",12,NA,1,NA,NA,NA,"species","Demersal Fish"
"arctoscopus japonicus","Vitamin A","mcg",20,NA,1,NA,NA,NA,"species","Demersal Fish"
"conger myriaster","Vitamin A","mcg",500,NA,1,NA,NA,NA,"species","Demersal Fish"
"dasyatis akajei","Vitamin A","mcg",2,NA,1,NA,NA,NA,"species","Demersal Fish"
